isolate,Inoculated,Read,citrate,Cont. Testing?,Inoculated,Read,phenol_red_lac,,Inoculated,Read,S,I,M,Inoculated,Read,MR,VP,ecoli_confirm,comments
LCC 1,2/16/2021,2/19/2021,-,,2/16/2021,2/17/2021,+,+,2/16/2021,2/17/2021,-,+,+,2/17/2021,2/19/2021,+,-,Y,
LCC 2,2/16/2021,2/19/2021,-,,2/16/2021,2/17/2021,+,+,2/16/2021,2/17/2021,-,+,+,2/17/2021,2/19/2021,+,-,Y,
LCC 3,2/16/2021,2/19/2021,+,,2/16/2021,2/17/2021,-,-,2/16/2021,2/17/2021,-,-,+,2/17/2021,2/19/2021,+,+,N,
LCC 4,2/16/2021,2/19/2021,+,,2/16/2021,2/17/2021,-,-,2/16/2021,2/17/2021,-,-,+,2/17/2021,2/19/2021,+,+,N,
LCC 5,2/16/2021,2/19/2021,-,,2/16/2021,2/17/2021,+,+,2/16/2021,2/17/2021,-,+,+,2/17/2021,2/19/2021,+,-,Y,
LCC 6,2/16/2021,2/19/2021,-,,2/16/2021,2/17/2021,+,-,2/16/2021,2/17/2021,-,+,-,2/17/2021,2/19/2021,+,-,N,
LCC 7,2/16/2021,2/19/2021,-,,2/16/2021,2/17/2021,-,-,2/16/2021,2/17/2021,-,+,-,2/17/2021,2/19/2021,+,-,N,
LCC 8,2/16/2021,2/19/2021,+,,2/16/2021,2/17/2021,+,+,2/16/2021,2/17/2021,+,-,-,2/17/2021,2/19/2021,+,-,N,completely black medium
LCC 9,2/16/2021,2/19/2021,+,ruled out,,,,,2/16/2021,2/17/2021,-,+,-,2/17/2021,2/19/2021,+,-,N,
LCC 10,2/16/2021,2/19/2021,+,ruled out,,,,,2/16/2021,2/17/2021,-,-,-,2/17/2021,2/19/2021,+,+,N,
LCC 11,2/16/2021,2/19/2021,+,ruled out,,,,,2/16/2021,2/17/2021,-,-,+,2/17/2021,2/19/2021,+,+,N,
LCC 12,2/16/2021,2/19/2021,+,ruled out,,,,,2/16/2021,2/17/2021,+,-,-,2/17/2021,2/19/2021,+,-,N,completely black medium
LCC 13,2/16/2021,2/19/2021,-,,3/16/2021,3/17/2021,+,-,2/16/2021,2/17/2021,-,+,+,2/17/2021,2/19/2021,+,-,Y,
LCC 14,2/16/2021,2/19/2021,+,ruled out,,,,,2/16/2021,2/17/2021,-,-,+,2/17/2021,2/19/2021,+,-,N,
LCC 15,2/16/2021,2/19/2021,+,ruled out,,,,,2/16/2021,2/17/2021,+,-,-,2/17/2021,2/19/2021,+,-,N,completely black medium
LCC 16,2/16/2021,2/19/2021,-,,3/16/2021,3/17/2021,+,+,2/16/2021,2/17/2021,-,+,+,2/17/2021,2/19/2021,+,-,Y,
LCC 17,2/16/2021,2/19/2021,-,,3/16/2021,3/17/2021,+,+,2/16/2021,2/17/2021,-,+,+,2/17/2021,2/19/2021,+,-,Y,
LCC 18,2/16/2021,2/19/2021,-,,3/16/2021,3/17/2021,+,+,2/16/2021,2/17/2021,-,+,+,2/17/2021,2/19/2021,+,-,Y,
LCC 19,2/16/2021,2/19/2021,-,,3/16/2021,3/17/2021,+,+,2/16/2021,2/17/2021,-,+,+,2/17/2021,2/19/2021,+,-,Y,
LCC 20,2/16/2021,2/19/2021,-,,3/16/2021,3/17/2021,+,+,2/16/2021,2/17/2021,-,+,+,2/17/2021,2/19/2021,+,-,Y,
LCC 21,2/16/2021,2/19/2021,+,ruled out,,,,,2/16/2021,2/17/2021,-,-,+,2/17/2021,2/19/2021,+,-,N,
LCC 22,2/16/2021,2/19/2021,-,,3/16/2021,3/17/2021,+,+,2/16/2021,2/17/2021,-,+,+,2/17/2021,2/19/2021,+,-,Y,
LCC 23,,,,ruled out,,,,,2/16/2021,2/17/2021,-,+,-,2/17/2021,2/19/2021,+,-,N,
LCC 24,,,,ruled out,,,,,2/16/2021,2/17/2021,+,-,-,2/17/2021,2/19/2021,+,-,N,completely black medium
LCC 25,3/16/2021,3/17/2021,-,,3/16/2021,3/17/2021,+,+,2/16/2021,2/17/2021,-,+,+,2/17/2021,2/19/2021,+,-,Y,
LCC 26,,,,ruled out,,,,,2/16/2021,2/17/2021,-,-,+,2/17/2021,2/19/2021,+,-,N,
LCC 27,,,,ruled out,,,,,2/16/2021,2/17/2021,-,-,+,2/17/2021,2/19/2021,+,-,N,
LCC 28,,,,ruled out,,,,,2/16/2021,2/17/2021,-,-,+,2/17/2021,2/19/2021,+,+,N,
LCC 29,,,,ruled out,,,,,2/16/2021,2/17/2021,-,-,-,2/17/2021,2/19/2021,+,-,N,
LCC 30,3/16/2021,3/17/2021,+,,3/16/2021,3/17/2021,-,-,2/16/2021,2/17/2021,-,+,+,2/17/2021,2/19/2021,+,-,N,
